"GroupID","Hostname","Configuration","Title"
"V-3454","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3456","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3455","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15682","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36709","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36711","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15685","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15684","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15722","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3480","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36713","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36714","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36719","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36720","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-4447","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3449","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15997","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15998","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-16000","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15999","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-40204","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-43238","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-43239","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-43240","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-43245","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-72753","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3289","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15823","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3289","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36736","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"V-63583","ZNC121A0SCAP06","Ongoing","Windows Server 2012/2012 R2 Domain Controller STIG"
,,,
,,,
,,,
"V-32274","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
,,,
"V-40237","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36439","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1152","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14228","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14229","ZNC121A0SCAP06","Ongoing","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14230","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1171","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-6831","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1163","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1164","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3374","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1154","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36773","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1089","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1157","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-6832","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1166","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1141","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-6833","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1162","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-21950","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1145","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3479","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3377","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3378","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-21951","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-21952","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-21953","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-21954","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3381","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3382","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3666","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3383","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3385","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14234","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14235","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14236","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14237","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-16008","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14239","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
